side,entry_price,shares,tp,sl,bar_index,entry_time,date,ema9,ema21,vwap,rsi,exit_price,exit_reason,exit_time,pnl,date_str
SHORT,686.2100219726562,7,684.84,687.58,122,2026-02-20 11:31:00,2026-02-20,686.5892851135861,687.082757144375,686.2931238933395,35.575125102875376,687.58,SL,2026-02-20 11:38:00,-9.589846191406536,2026-02-20
LONG,686.739990234375,7,688.11,685.37,201,2026-02-20 12:50:00,2026-02-20,686.3480820979837,686.0483096259792,686.4278270333978,64.88093495139135,687.6610107421875,TIME,2026-02-20 13:00:00,6.4471435546875,2026-02-20
LONG,687.4099731445312,7,688.78,686.04,218,2026-02-20 13:07:00,2026-02-20,687.3136827930969,687.0745003475267,686.4720005571619,57.57126656842517,686.510009765625,TIME,2026-02-20 13:17:00,-6.29974365234375,2026-02-20
SHORT,686.4500122070312,7,685.08,687.82,231,2026-02-20 13:20:00,2026-02-20,686.6982006735399,686.8494034794957,686.4791054081293,36.41896954295152,686.7949829101562,TIME,2026-02-20 13:30:00,-2.414794921875,2026-02-20
LONG,689.1124877929688,7,690.49,687.73,1,2026-02-23 09:30:00,2026-02-23,689.0223482448501,688.8961894829281,688.6675008138021,55.868926937255154,688.3800048828125,TIME,2026-02-23 09:40:00,-5.12738037109375,2026-02-23
LONG,683.72998046875,7,685.1,682.36,41,2026-02-24 10:10:00,2026-02-24,683.3846421401164,683.3050311533491,682.8115309919947,59.39856740327935,684.489990234375,TIME,2026-02-24 10:20:00,5.320068359375,2026-02-24
SHORT,690.5850219726562,7,689.2,691.97,42,2026-02-25 10:11:00,2026-02-25,690.6908017661652,690.847768686872,691.0786071765785,38.311095369771515,690.4600219726562,TIME,2026-02-25 10:21:00,0.875,2026-02-25
SHORT,690.4849853515625,7,689.1,691.87,69,2026-02-25 10:38:00,2026-02-25,690.646114948689,690.7306578706941,690.9909636940118,36.54599119721581,690.6300048828125,TIME,2026-02-25 10:48:00,-1.01513671875,2026-02-25
SHORT,690.4849853515625,7,689.1,691.87,85,2026-02-25 10:54:00,2026-02-25,690.5428219240414,690.5971114398121,690.9550322242497,43.02814724096192,690.9400024414062,TIME,2026-02-25 11:04:00,-3.18511962890625,2026-02-25
SHORT,691.0800170898438,7,689.7,692.46,21,2026-02-26 09:50:00,2026-02-26,691.1998922220231,691.6484303042108,691.8952807030188,39.21620416089873,690.385009765625,TIME,2026-02-26 10:00:00,4.86505126953125,2026-02-26
LONG,688.6199951171875,7,690.0,687.24,108,2026-02-26 11:17:00,2026-02-26,688.4855573357071,688.1395913403538,688.4914262756354,61.302031612693646,688.7999877929688,TIME,2026-02-26 11:27:00,1.25994873046875,2026-02-26
LONG,688.760009765625,7,690.14,687.38,121,2026-02-26 11:30:00,2026-02-26,688.6995352762708,688.502845579538,688.4953431774982,58.27298217343654,687.38,SL,2026-02-26 11:38:00,-9.660068359375032,2026-02-26
LONG,688.3400268554688,7,689.72,686.96,282,2026-02-26 14:11:00,2026-02-26,688.1981847233538,687.8543405463158,687.8164044826855,62.686130730522514,689.1599731445312,TIME,2026-02-26 14:21:00,5.7396240234375,2026-02-26
SHORT,682.6199951171875,7,681.25,683.99,15,2026-02-27 09:44:00,2026-02-27,683.0430200255728,684.4914697145842,683.3045994649052,36.955384914368615,683.0800170898438,TIME,2026-02-27 09:54:00,-3.22015380859375,2026-02-27
SHORT,682.8400268554688,7,681.47,684.21,27,2026-02-27 09:56:00,2026-02-27,683.0408871883744,683.5314483843947,683.2412145092667,41.167445247088544,684.21,SL,2026-02-27 10:02:00,-9.589812011719005,2026-02-27
LONG,682.030029296875,7,683.39,680.67,33,2026-03-04 10:02:00,2026-03-04,681.5957725886791,681.2523342361009,681.7607941036076,64.95716739020749,683.3599853515625,TIME,2026-03-04 10:12:00,9.3096923828125,2026-03-04
SHORT,683.1099853515625,7,681.74,684.48,42,2026-03-05 10:11:00,2026-03-05,683.6656736741655,683.8812514451978,683.4784272567292,35.332638247892774,682.364990234375,TIME,2026-03-05 10:21:00,5.2149658203125,2026-03-05
LONG,681.8699951171875,7,683.23,680.51,157,2026-03-05 12:06:00,2026-03-05,681.6557371225897,681.238305029252,681.7051493181993,63.03400667980447,680.51,SL,2026-03-05 12:10:00,-9.519965820312564,2026-03-05
LONG,679.9000244140625,7,681.26,678.54,358,2026-03-05 15:27:00,2026-03-05,679.7008312075887,679.076745505402,679.8206070399216,63.423029035691094,680.3200073242188,TIME,2026-03-05 15:37:00,2.93988037109375,2026-03-05
LONG,680.260009765625,7,681.62,678.9,379,2026-03-05 15:48:00,2026-03-05,679.9245467618141,679.8311865433699,679.8239084753143,63.176247565862774,672.8300170898438,EOD,2026-03-06 09:30:00,-52.00994873046875,2026-03-05
LONG,672.1599731445312,7,673.5,670.82,36,2026-03-06 10:05:00,2026-03-06,671.9940479725566,671.8667803424171,671.9398673219071,55.89453219895357,670.82,SL,2026-03-06 10:10:00,-9.3798120117184,2026-03-06
LONG,678.4400024414062,7,679.8,677.08,1,2026-03-10 09:30:00,2026-03-10,678.0829367297895,677.7378789200102,678.2433268229166,64.65382409890084,677.08,SL,2026-03-10 09:35:00,-9.520017089843464,2026-03-10
SHORT,676.5778198242188,7,675.22,677.93,23,2026-03-10 09:52:00,2026-03-10,676.8987569203657,677.0556288549881,677.5529635695301,43.0067630114641,675.22,TP,2026-03-10 10:00:00,9.504738769531059,2026-03-10
SHORT,678.7369995117188,7,677.38,680.09,306,2026-03-10 14:35:00,2026-03-10,679.4087609428465,679.5150730034659,679.7563011142732,35.82795116618604,680.09,SL,2026-03-10 14:37:00,-9.471003417968973,2026-03-10
SHORT,678.8767700195312,7,677.52,680.23,325,2026-03-10 14:54:00,2026-03-10,678.9792761454834,679.0956571699159,679.7271403977655,46.20943571617825,678.510009765625,TIME,2026-03-10 15:04:00,2.56732177734375,2026-03-10
SHORT,676.8400268554688,7,675.49,678.19,23,2026-03-11 09:52:00,2026-03-11,676.8870770503659,677.1960652336782,677.7306986159051,44.006897332637315,678.19,SL,2026-03-11 10:00:00,-9.449812011719132,2026-03-11
LONG,678.3800048828125,7,679.74,677.02,34,2026-03-11 10:03:00,2026-03-11,678.2829002721348,677.8175268262363,677.9539118640143,55.64927069777487,677.8150024414062,TIME,2026-03-11 10:13:00,-3.95501708984375,2026-03-11
LONG,670.3800048828125,7,671.72,669.04,38,2026-03-12 10:07:00,2026-03-12,670.0745927607554,670.0640542486465,670.1803945066948,61.100151135580944,670.27001953125,TIME,2026-03-12 10:17:00,-0.7698974609375,2026-03-12
SHORT,669.3400268554688,7,668.0,670.68,55,2026-03-12 10:24:00,2026-03-12,669.5739537006284,669.8799906553406,670.1699235605345,37.000894877270646,668.0,TP,2026-03-12 10:30:00,9.38018798828125,2026-03-12
LONG,669.7299194335938,7,671.07,668.39,157,2026-03-12 12:06:00,2026-03-12,669.6861766266368,669.4235077398391,669.3046377365102,54.637979591376926,668.39,SL,2026-03-12 12:08:00,-9.379436035156345,2026-03-12
SHORT,668.3200073242188,7,666.98,669.66,161,2026-03-12 12:10:00,2026-03-12,668.8360683954892,669.0589036035531,669.2807785660702,36.18462858132831,669.66,SL,2026-03-12 12:16:00,-9.379948730468527,2026-03-12
SHORT,669.52001953125,7,668.18,670.86,66,2026-03-16 10:35:00,2026-03-16,669.7671358324535,670.1685836602342,669.6523709475474,35.754810981256554,668.18,TP,2026-03-16 10:42:00,9.38013671875035,2026-03-16
LONG,669.5599975585938,7,670.9,668.22,92,2026-03-16 11:01:00,2026-03-16,669.3475641772666,669.1227966361512,669.4337617576864,60.596879955623194,668.7999877929688,TIME,2026-03-16 11:11:00,-5.320068359375,2026-03-16
LONG,670.0850219726562,7,671.43,668.74,119,2026-03-16 11:28:00,2026-03-16,669.9842615041338,669.6983810768044,669.4409730335952,63.727728127205964,670.2150268554688,TIME,2026-03-16 11:38:00,0.9100341796875,2026-03-16
SHORT,668.8200073242188,7,667.48,670.16,151,2026-03-16 12:00:00,2026-03-16,668.9989607101512,669.38347178979,669.4709673031564,38.661223299103874,669.1500244140625,TIME,2026-03-16 12:10:00,-2.31011962890625,2026-03-16
SHORT,668.6900024414062,7,667.35,670.03,163,2026-03-16 12:12:00,2026-03-16,668.8055829179169,668.9459284388413,669.4361808232119,45.277751417899864,667.6699829101562,TIME,2026-03-16 12:22:00,7.14013671875,2026-03-16
LONG,669.1599731445312,7,670.5,667.82,219,2026-03-16 13:08:00,2026-03-16,668.9398474981813,668.7737621116511,669.1418375679023,61.39389147725681,669.2449951171875,TIME,2026-03-16 13:18:00,0.59515380859375,2026-03-16
LONG,669.5449829101562,7,670.88,668.21,231,2026-03-16 13:20:00,2026-03-16,669.2714322128801,669.1166291449285,669.1448216156685,64.97007708638267,669.47998046875,TIME,2026-03-16 13:30:00,-0.45501708984375,2026-03-16
SHORT,668.8300170898438,7,667.49,670.17,258,2026-03-16 13:47:00,2026-03-16,668.9032065847709,669.0225384571409,669.1496127507235,41.72990646143568,668.8800048828125,TIME,2026-03-16 13:57:00,-0.34991455078125,2026-03-16
LONG,674.05810546875,7,675.41,672.71,25,2026-03-17 09:54:00,2026-03-17,673.9573548895689,673.4354103858457,673.3437796417517,58.93230617289084,673.1900024414062,TIME,2026-03-17 10:04:00,-6.07672119140625,2026-03-17
SHORT,672.25,7,670.91,673.59,49,2026-03-17 10:18:00,2026-03-17,672.3611656175253,672.7636132585017,673.216190194844,41.44338756807614,672.6599731445312,TIME,2026-03-17 10:28:00,-2.86981201171875,2026-03-17
SHORT,668.4749755859375,7,667.14,669.81,28,2026-03-18 09:57:00,2026-03-18,668.7822838451654,669.0150889949809,668.6220043837457,36.236819724378755,669.1400146484375,TIME,2026-03-18 10:07:00,-4.6552734375,2026-03-18
SHORT,668.239990234375,7,666.9,669.58,41,2026-03-18 10:10:00,2026-03-18,668.734836680625,668.8240056136907,668.6446633673623,38.94001744368983,667.4000244140625,TIME,2026-03-18 10:20:00,5.8797607421875,2026-03-18
SHORT,666.9342041015625,7,665.6,668.27,120,2026-03-18 11:29:00,2026-03-18,667.0545732263417,667.1035716135312,667.8201845424286,41.876030684807475,667.3499755859375,TIME,2026-03-18 11:39:00,-2.910400390625,2026-03-18
SHORT,666.8699951171875,7,665.54,668.2,140,2026-03-18 11:49:00,2026-03-18,667.055794835815,667.1058633175816,667.7765715463873,42.66781137641732,667.0399780273438,TIME,2026-03-18 11:59:00,-1.18988037109375,2026-03-18
SHORT,656.530029296875,7,655.22,657.84,61,2026-03-19 10:30:00,2026-03-19,656.6830133866328,657.2091428374719,656.9757697638465,37.28796725015363,657.84,SL,2026-03-19 10:32:00,-9.169794921875223,2026-03-19
LONG,657.9400024414062,7,659.26,656.62,83,2026-03-19 10:52:00,2026-03-19,657.8422025543935,657.7404323534744,657.10008450875,53.56689084837304,657.9299926757812,TIME,2026-03-19 11:02:00,-0.070068359375,2026-03-19
