trade_id,date,entry_time,exit_time,side,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,ema9,ema21,vwap,rsi,daily_pnl_after,trades_today
1,2026-03-20,14:52:51,14:52:53,LONG,489.9846,490.0563,10,0.72,0.015,TIME,489.9899,489.9813,489.9444,47.97,0.72,1
2,2026-03-20,14:52:53,14:52:54,LONG,490.0589,490.0782,10,0.19,0.004,TIME,490.0108,489.9857,489.9478,71.33,0.91,2
3,2026-03-20,14:52:54,14:52:55,LONG,490.1011,490.106,10,0.05,0.001,TIME,490.1234,490.103,489.9723,44.85,0.96,3
4,2026-03-20,14:52:55,14:52:56,LONG,490.1201,490.3293,10,2.09,0.043,TIME,490.1094,490.109,489.9871,52.68,3.05,4
5,2026-03-20,14:52:57,14:52:58,LONG,490.3772,490.5534,10,1.76,0.036,TIME,490.3204,490.2488,490.0171,71.17,4.81,5
6,2026-03-20,14:52:58,14:52:59,LONG,490.5386,490.4859,10,-0.53,-0.011,TIME,490.5333,490.4639,490.0572,58.78,4.29,6
7,2026-03-20,14:52:59,14:53:00,LONG,490.4494,490.7929,10,3.43,0.07,TIME,490.4736,490.4687,490.0928,43.83,7.72,7
8,2026-03-20,14:53:06,14:53:07,LONG,490.6807,490.7199,10,0.39,0.008,TIME,490.6803,490.6792,490.2631,50.91,8.11,8
9,2026-03-20,14:53:07,14:53:08,LONG,490.7507,491.0179,10,2.67,0.054,TIME,490.7256,490.7066,490.2868,60.41,10.78,9
1,2026-03-20,14:58:28,14:58:29,LONG,489.9846,490.0563,10,0.72,0.015,TIME,489.9899,489.9813,489.9444,47.97,0.72,1
2,2026-03-20,14:58:29,14:58:30,LONG,490.0589,490.0782,10,0.19,0.004,TIME,490.0108,489.9857,489.9478,71.33,0.91,2
3,2026-03-20,14:58:30,14:58:31,LONG,490.1011,490.106,10,0.05,0.001,TIME,490.1234,490.103,489.9723,44.85,0.96,3
4,2026-03-20,14:58:32,14:58:33,LONG,490.1201,490.3293,10,2.09,0.043,TIME,490.1094,490.109,489.9871,52.68,3.05,4
5,2026-03-20,14:58:33,14:58:34,LONG,490.3772,490.5534,10,1.76,0.036,TIME,490.3204,490.2488,490.0171,71.17,4.81,5
6,2026-03-20,14:58:34,14:58:36,LONG,490.5386,490.4859,10,-0.53,-0.011,TIME,490.5333,490.4639,490.0572,58.78,4.29,6
7,2026-03-20,14:58:36,14:58:37,LONG,490.4494,490.7929,10,3.43,0.07,TIME,490.4736,490.4687,490.0928,43.83,7.72,7
8,2026-03-20,14:58:42,14:58:43,LONG,490.6807,490.7199,10,0.39,0.008,TIME,490.6803,490.6792,490.2631,50.91,8.11,8
9,2026-03-20,14:58:43,14:58:44,LONG,490.7507,491.0179,10,2.67,0.054,TIME,490.7256,490.7066,490.2868,60.41,10.78,9
